"","primitive","classical","secretory","basal"
"ABTB2",0.141366531835761,-0.090146613036792,-0.0137797310518841,0.0397555594350045
"ACAA1",-0.164957740781465,-0.0921375614861963,0.278076360584135,-0.0166932953726262
"ACACA",0.0790037089705056,0.271084424648674,-0.28658393307044,-0.0241438244232905
"ACACB",0.00484242251681333,-0.0150600062839594,0.0849510032863695,-0.105261754255687
"ACAD10",-0.00180411481887965,0.000718838232723298,0.00796051330624126,-0.0428452126495423
"ACAD8",0.00498498241170624,-0.230973567905238,0.251429135547461,0.100408016853469
"ACADL",0.00725009027921505,-0.00869501004557194,0.145751627400443,-0.0184258475596416
"ACADM",0.219454592607558,-0.253232879237292,0.149280183897679,0.040021848001335
"ACADS",-0.0665566250436872,-0.0153133834284196,0.068721347322869,0.051804102459887
"ACADSB",0.0808449585378923,0.0561848373628928,-0.0481954750748287,-0.00441633319731927
"ACADVL",0.0587225396498507,-0.0088567060746356,0.0384203652481014,-0.0543140378754698
"ACAN",-0.00763392211698743,-0.0193787788101408,0.0655002329398062,-0.0175533589622177
"ACAT1",0.0924551298622264,-0.014931294997123,0.183469164285784,-0.171047475209411
"ACAT2",0.231113020271446,0.416600893651308,-0.575705798593513,-0.110902704494186
"ACBD3",-0.031894490433602,0.104874554094827,-0.167500829719665,0.0294588494909885
"ACBD4",-0.0574098368459266,-0.0880009617796761,0.206812246180874,-0.12006108593999
"ACCN1",-0.0280196424016697,0.0190557884197629,0.00907572944790963,0.00929568584325843
"ACCN2",0.0960044126348809,0.0252571530119317,-0.0703287279206826,0.0497307917352288
"ACCN4",-0.00880948557535133,0.0105231747661098,-0.0176441249240293,-0.0278313054851759
"ACD",0.0646484443216458,0.0537390765324216,-0.0878223633518185,-0.084944358671139
"ACE2",-0.277024869757759,0.12842960069232,-0.15826992811433,0.215717645764931
"ACHE",-0.0494198914507087,-0.00563702140867535,0.0498369055215196,-0.0111754935648345
"ACIN1",0.078728511183872,-0.0410725314204328,-0.0467807861714005,0.0634603416536505
"ACLY",0.0889549779834487,0.172353396374861,-0.194361869788277,-0.0428798903448864
"ACN9",0.309154154078268,0.245046722678565,-0.350462596580278,0.02550229786435
"ACOT11",-0.0663911904761972,-0.0046409110884722,-0.0266079323311862,0.128932839084623
"ACOT7",0.0823762573758007,-0.00836109155787046,-0.203168306805181,0.275791286768008
"ACOT8",0.157530896515551,-0.0487514918065608,-0.0220783720152656,0.111520812060902
